# 刀具直径(mm): 10.0
# 刀具材料: 硬质合金铝用铣刀
# 毛坯材料: AL6061
ap		 ae		 F		 N		 X		 Y		 Z		 s(行程)		 t(时间)		 dMRV		 MRR		 S(转速)		 K(扭矩系数)		 T(扭矩)		 P(功率)
0.5		2.40144		6500.0		N0		-57.9880		5.2340		-8.5000		0.074330		0.000686		1.200720		130.078000		10000.0		0.600000		78.046800		81730.417839
0.5		1.59423		6500.0		N0		-58.0380		5.2890		-8.5000		0.074330		0.000686		0.797115		86.354125		10000.0		0.600000		51.812475		54257.896941
0.5		1.63057		6500.0		N0		-58.0830		5.3470		-8.5000		0.073410		0.000678		0.815285		88.322542		10000.0		0.600000		52.993525		55494.689609
0		0		6500.0		N0		-58.1230		5.4100		-8.5000		0.074626		0.000689		0.000000		0.000000		10000.0		0.600000		0.000000		0.000000
0.5		1.77795		6500.0		N0		-58.1570		5.4760		-8.5000		0.074243		0.000685		0.888975		96.305625		10000.0		0.600000		57.783375		60510.608800
0.5		0.393639		6500.0		N0		-58.1860		5.5440		-8.5000		0.073926		0.000682		0.196820		21.322112		10000.0		0.600000		12.793267		13397.078398
0.5		1.19467		6500.0		N0		-58.2080		5.6150		-8.5000		0.074330		0.000686		0.597335		64.711292		10000.0		0.600000		38.826775		40659.303701
0.5		0.130158		6500.0		N0		-58.2240		5.6870		-8.5000		0.073756		0.000681		0.065079		7.050225		10000.0		0.600000		4.230135		4429.787013
0.5		1.17312		6500.0		N0		-58.2340		5.7610		-8.5000		0.074673		0.000689		0.586560		63.544000		10000.0		0.600000		38.126400		39925.872716
0.5		0		6500.0		N0		-58.2370		5.8350		-8.5000		0.074061		0.000684		0.000000		0.000000		10000.0		0.600000		0.000000		0.000000
